Movie,Review
Charade (1963),"Regina (Audrey Hepburn) comes Paris from a vacation where knew Peter (Gary Grant) and finds that her husband Charlie has been murdered and which he was more than he seemed , as the police (Jacques Marin) produces several passports that show Charlie with a different name and disguise . She also discovers that she now has a trio (James Coburn, George Kennedy) of her spouse's former colleagues following her , looking for his hidden cache of money . Regina on the run from crooks and double agents who want the loot her husband stole during WWII .

This is a sparklingly sophisticated comedy/thriller/romance with Donen's stylish direction and full of plot twists and red herrings . From the opening credits by Maurice Binder to the ending entertainment and amusement is well provided . Donen is prepared to resort to all the tricks in the cinematic trade to make this a fascinating thriller . Amusing scenes as the dancing with the orange on the body, Gary Grant in the shower , along with exciting sequences as a rooftop fight between Grant and Kennedy and a nasty firing his pistol at the protagonists through a marble pillars . Due to the suspense, the stars, and the frequent plot twists, many people believe that this is an Alfred Hitchcock film . This confusion has prompted fans of the film to call it ""the best Hitchcock film that Hitchcock never made"". Gary Grant is amusingly enigmatic and provides the glamorous mystery element in the plot . A sympathetic Audrey Hepburn is excellent as widow involved in a sinister goings-on around death her husband, she manages to change her Givenchy's dresses at various scenes . Hepburn won prize British Academy to best actress. Glamorous and sophisticated cinematography by Charles Lang . Enjoyable score by Henry Mancini with lyric by Johnny Mandel including catching and classic musical leitmotif .

The motion picture was magnificently directed by Stanley Donen who made in similar style ¨Arabesque¨ with Gregory Peck and Sophia Loren . The posterior Donen films were heavy-handed , exception of ¨Two for the road¨ again with Hepburn , and too few to show if the magic had really gone . It's remade at an inferior version by Jonathan Demme titled ¨The truth about Charlie (2002)¨ with Mark Wahlberg (Peter) and Thandie Newton (Regina) . Rating : Very good, it makes relaxing entertaining and it's a real seat-gripper ."
"Fox and the Hound, The (1981)","For some reason, this animated feature from the Disney stable had eluded me until now - even if I remember it being shown in local theaters on original release: I understand that it's among the less well-regarded efforts, but I found it a cute little film overall; even so, the plot line (adapted from a book by Daniel P. Mannix) is somewhat thin and the songs (never my favorite element in these films) very pedestrian. As a matter of fact, it's the various endearing characters which make it watchable - and not just the titular duo (the surprising, but most capable, cast of voice actors includes such veterans as Jack Albertson, Pearl Bailey, John Fiedler, John McIntire, Jeanette Nolan, and Mickey Rooney as Tod the Fox); that said, the romantic interest which crops up during its last third proves a distraction from the central relationship - which is quite movingly developed. Ultimately, though, the animation itself seems rather flat and uninspired: it's clearly a case of ""we've been here before"" and this leads to few, if any, memorable highlights. By the way, as per the regrettable Disney Studios custom of late, a direct-to-video sequel recently appeared."
"Big Blue, The  1988)","Interesting but slow, long and clumsy.

The story of two childhood friends with a love for the sea and diving. They drift apart but are reunited by the competitive world of free diving. Their eagerness to set new depth records drives them to incredible feats, and great danger...

Starts off quite amateurishly. The childhood scenes and the acting therein is quite badly done. However, it gets better after that and the plot is interesting enough. It never does shake that clumsy amateurishness present in the first few scenes though.

Is very slow and overly long too. Far too many scenes in the movie that could easily have been cut or at least edited somewhat.

Performances are mostly OK, but not brilliant. Nobody really stands out. Jean Reno is probably the best of the bunch."
Georgia (1995),"Jennifer Jason Leigh here pulls off another of her 'impossible' performances. Is there any film actress as versatile as she is? Is there anything she can't do or any role she cannot play? When she acts, she throws herself into the role with the force of an express train. Here she transforms into a hopeless, cheery, ever-smiling flop of a girl, who has failed at everything but just goes on in good humour, taking it on the chin from Life time after time. Her pathetic, sprawling, inept character is endlessly endearing, like a delightful child, even though she drives everyone she knows crazy because she is so hopeless. She can't stay off the drugs, or the booze, or out of bed with anyone for a quickie. She doesn't know when to start, she doesn't know when to stop. She is behaviour-dyslexic. Her thoroughly controlled and successful older sister gets her revenge on little sister by extending icy and permanent tolerance, disguising condescension as devotion. The two sisters are both singers, and the older one, Georgia of the title (though the star is really Sadie, the Leigh character), is a magnificent folk singer with a marvellously controlled and captivating voice (must get Winningham's CDs!). She is played brilliantly by Mare Willingham, who was justly nominated for an Oscar for it. As for Leigh, she won best actress awards from the New York Film Critics Circle Awards (highly prestigious in the USA), and the Montreal Film Festival. Leigh can sing better than she does in the film because it is part of the role that she must not be very good. However, she throws herself totally into every song she sings, and unbearably heart-rending emotion is her specialty. What a contrast to the cold control shown by her sister, who stands erect and formal, while Leigh throws herself all over the stage and repeatedly swallows and vomits up the microphone, and everything hangs out like long johns on the washing line which the neighbours don't want to see. The film is incredibly sensitive and profound, a triumph by Ulu Grosbard, who made too few films in his career, and is now well into his 80s. This is REAL film-making, and one of the endless parade of spectacular achievements by the incomparably brilliant Jennifer Jason Leigh, and surely one of her best."
"Indian in the Cupboard, The (1995)","Even though I rated this plucky movie a 4, it doesn't mean I hate it, my dear friends. I liked it but it doesn't have the stuff to make it to my higher favoritism of movies. Frank Oz is imaginative, but I have to say that this film to me is not so Frank Oz, and movies that are adapted from books are quite impressive, but I can only say I was slightly impressed. For one thing, the cast is inadequate, I never heard of David Keith and Litefoot.

This story follows Omri, an extremely childish youngster who, for his birthday, receives a MAGICAL (ooh!) cupboard. The Cupboard lacks its key so Omri's mother (actress Lindsay Crouse, never heard of her), gives him her collection of keys, and guess what? He finds the certain key on his second try! That part always took me aback. He puts in an antique Iroquois figure in the cupboard, and later in the morning he opens it to find the figure alive as a small Iroquois man. The pair has many tedious adventures, some including an idiotic rat ball and a down-right scruffy cowboy who was a toy figure too. The cupboard MAGICALLY turns plastic (plaz-teck!) things into their real life counterparts, only smaller. The pair soon learns that every boy must become a man (a typical, yet true moral).

Omri's character really is childish, yet endearing; his parents seem to pamper him, he's afraid of the dark, and he has lame 90's action figures; but he does mellow out in the end of the movie. I liked the acting, but it was no To Kill a Mocking Bird, even at moving parts. The Iroquois man was different from other Indian movies; he was a guru in a way. The music was just moderate and odd, though with one exception you'll know when you hear it.

Be warned, my dear readers, this movie contains slight profanity (embarrassing really); simulative killing and some ladies do a loathsome dance on TV at one point (they call this a kid movie, how embarrassing. Let's hope Omri was sleeping at that adultish scene). And no the kid does not play God, its just a story, have fun. Other than the 3 points I pointed out, the movie is plucky and it has a rather moving ending. It's an poorish if okay movie."
Blue in the Face (1995),"Two things need to be understood, Brooklyn and Wayne Wang. Can those of you who saw Chang is Missing, really pretend that Wayne Wang's films push the envelope? I mean, it's always a bit beyond the cutting edge with WW. A great film maker, he has a great sense of humor and is smart enough to let actors take their heads sometimes. OK. Now, Brooklyn. Forget this crap about ""New York,"" if you know Brooklyn and especially, the OLD Brooklyn of, say, 1956, that last great year of the Dodgers [I was a young Naval officer there in Brooklyn Naval Shipyard that year], then you know there's a HUGE cultural barrier separating NY from there. Now, you're getting warm. OK, when I saw Smoke, I saw a teaser of a sequel. Now, we all know sequels generally suck but Smoke had that extra something that made me want to risk a buck to see Keitel in action again. Well, waited and waited and then, this is on the shelves. It's a GEM! Don't listen to those chumps who don't know squat about WW or Brooklyn and, hey, let me ask you...did you pay to go see that Star Wars Prequel? Sure you did. So don't gripe. This is the great SMOKE PREQUEL! Go Wayne Wang! Up with Brooklyn, old (definitely not new, i.e ., LA) Dodgers, Belgian waffles, and Sexy Puerto Rican girls dialoguing with themselves in the mirror, saying ""Ju lik Epanish gorls?"" YES!"
Unzipped (1995),"First off, I must say that I am not the likely audience for a film like this. I know almost nothing about fashion and have difficulty getting into documentaries. I did see this years ago, about the time it hit video, and while I liked Isaac, the movie didn't hold my interest.

Fast forward to 2008, I've been watching Ugly Betty for two seasons. It is another unlikely choice for me, but it's over the top enough to be fun. Everyone around me loves The Devil Wears Prada, so I've seen that several times as well.

Then Unzipped reappears on satellite TV, and as I watch it I see a first hand look at the world that Betty and Devil are only reflecting. Seeing it in this context I found a whole new appreciation for this movie. It's interesting, funny and dramatic in places, and it's beautifully shot. Maybe there are a lot of documentary clichés at work here, but who better to give the glamorous black and white treatment to than supermodels and fashionistas? It works, extremely well, now I understand better where it comes from. Why settle for an 'inspired by' Anna Wintour when you can have the real thing? Anyway, I'll be getting this on DVD to add to my expanding fashion-themed section. Who knew?"
Before Sunrise (1995),"Sweet and charming, funny and poignant, plot less but meaningful, ""Before Sunrise"" (1995), the third movie of Richard Linklater, is dedicated to everyone who ever been in love, is in love, or never been in love but still dreams of it and hopes to find it. It is one of the very rare movies that is/should/will be equally interesting to teenagers, their parents and even grandparents. It seems a very simple little movie with no spectacular visual effects, car chases, or long and steamy sex scenes. Two young people in their early 20s, two college students (American tourist Ethan Hawke who is returning home after the summer in Europe and the French student Julie Delpy who goes to Paris to attend the classes in Sorbonne) meet on a train. They are attracted to each other instantly even before they start talking, they hop off the train in Vienna where they walk around exploring the city all night. They talk and fall in love. That's it, that's the movie. It could've been boring and silly but instead, it is a lovely, believable, clever, and moving romance that only gets better with each viewing (at least, for this viewer). High praise and my sincere gratitude go to the director and writers for delivering two charming characters, superb writing, always interesting and witty dialogs, two awesome performances, and the atmosphere of magic that falling in love is. Julie Delpy, who looks like a Botticelli's angel, is great in portraying smart, independent, and incredibly attractive young woman."
Nobody's Fool (1994),"Paul Newman starred in many brilliant films of which he bizarrely wasn't nominated for an Oscar . He was nominated for Nobody's Fool but I have the feeling that was more of a sympathy or guilt nomination from the academy .

Don't get me wrong , his performance is good , It was probably his last good performance in fact, but the film itself is a bit too fluffy for me.

Paul Newman a stubborn man past his prime reflects on his life of strict independence and seeks more from himself.

He realises that he's not been a great father , in fact no father at all , so perhaps he can make up for that ?

Considering this was nominated twice for academy awards it's surprising how it feels like a Sunday afternoon made for TV film.

That's not a criticism, it just feels like that and lots of people like those type of films.

Newman plays this role very naturally and I was pleased he didn't try to make this comedic.

It has its serious moments and it's lighthearted moments and it's very watchable .

There is a great cast . Bruce Willis ( who chews up the scenery) , Melanie Griffith, who gives us a nice little flash ! , A young Phillip Seymour Hoffman and the last ever performance from Jessica Tandy , in fact she died before it was released.

All in all , it's not a bad film but it was never going to pull up any trees ."
Pushing Hands (1992),"This film is about an elderly Chinese man moving to America to join his son and family. He faces adjustment problems due to cultural clash.

The film is initially dull and boring. 7 minutes into the film and not one word is said! Though silence enhances the cultural rift between Mr Chu and Martha, the silence is probably too long. As the film progresses, more cultural differences are displayed. It is striking that during dinner, Martha and Jeremy uses forks to eat while Mr Chu and Alex uses chopsticks. Another striking scene is when Mr Chu and Mrs Chan talk in the community centre towards the end of the film, behind Mr Chu is an American flag while behind Mrs Chan it is a piece of Chinese calligraphy. Such subtle display of cultural differences is clever. The film is also heavy on Chinese traditional ideas, such as children taking care of parents as a natural duty, parents not wanting to burden children of their troubles etc. Such cultural ideas are beautifully explored.

It is a pity that this film is shot with a very low budget. There are even three occasions that the boom mike is visible. Fortunately, such imperfections do not hinder my enjoyment."
