,movie,description,cleaned_description,sentiment
0,Heavy Metal (1981),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
1,Heavy Metal (1981),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
2,"Aristocats, The (1970)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
3,"Aristocats, The (1970)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
4,All Dogs Go to Heaven 2 (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
5,All Dogs Go to Heaven 2 (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
6,Theodore Rex (1995),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
7,Theodore Rex (1995),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
8,Sgt. Bilko (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
9,Sgt. Bilko (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
10,Diabolique (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
11,Diabolique (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
12,Moll Flanders (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
13,Moll Flanders (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
14,Kids in the Hall: Brain Candy (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
15,Kids in the Hall: Brain Candy (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
16,Mystery Science Theater 3000: The Movie (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
17,Mystery Science Theater 3000: The Movie (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
18,Operation Dumbo Drop (1995),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
19,Operation Dumbo Drop (1995),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
20,"Truth About Cats & Dogs, The (1996)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
21,"Truth About Cats & Dogs, The (1996)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
22,Flipper (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
23,Flipper (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
24,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
25,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
26,Wallace & Gromit: The Best of Aardman Animation (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
27,Wallace & Gromit: The Best of Aardman Animation (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
28,"Haunted World of Edward D. Wood Jr., The (1995)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
29,"Haunted World of Edward D. Wood Jr., The (1995)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
30,Cold Comfort Farm (1995),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
31,Cold Comfort Farm (1995),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
32,"Rock, The (1996)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
33,"Rock, The (1996)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
34,Twister (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
35,Twister (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
36,Maya Lin: A Strong Clear Vision (1994),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
37,Maya Lin: A Strong Clear Vision (1994),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
38,Striptease (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
39,Striptease (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
40,Independence Day (ID4) (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
41,Independence Day (ID4) (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
42,"Cable Guy, The (1996)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
43,"Cable Guy, The (1996)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
44,"Frighteners, The (1996)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
45,"Frighteners, The (1996)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
46,Lone Star (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
47,Lone Star (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
48,Phenomenon (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
49,Phenomenon (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
50,"Spitfire Grill, The (1996)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
51,"Spitfire Grill, The (1996)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
52,"Godfather, The (1972)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
53,"Godfather, The (1972)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
54,Supercop (1992),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
55,Supercop (1992),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
56,Bound (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
57,Bound (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
58,Kansas City (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
59,Kansas City (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
60,Breakfast at Tiffany's (1961),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
61,Breakfast at Tiffany's (1961),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
62,"Wizard of Oz, The (1939)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
63,"Wizard of Oz, The (1939)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
64,Gone with the Wind (1939),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
65,Gone with the Wind (1939),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
