Movie,Review
Mortal Kombat (1995),"A lot of the video game to move adaptations have been a much maligned concept and a majority of them have turned out to be box office disasters. One of many of these examples include Super Mario Bros (1993) and Street Fighter (1994) which instantly spring to mind. Mortal Kombat has the distinction of being the few of the better video game to movie adaptations.

Based on the controversial best selling ultra violent video game, the movie centres on Shaolin monk Liu Kang (Robin Shou) out to avenge the death of his brother at the hands of Shang Tsung (Cary-Hiroyuki Tagawa), actor Johnny Cage (Linden Ashby) out to prove that he is not just a pretty face, and special forces officer Sonya Blade (Bridgette Wilson) who is in hot pursuit of criminal Kano (the late Trevor Goddard). Liu Kang, Johnny Cage and Sonya Blade are handpicked by the god of thunder Raiden (Christopher Lambert) as contenders for the Mortal Kombat tournament to claim triumph over the Outworld to prevent the Emperor Shao Kahn from invading Earth.

Assisted by Princess Kitana and Raiden, the trio must also battle a variety of opponents including Scorpion, Sub Zero, Reptile, Goro and lastly Shang Tsung.

Director Paul W.S. Anderson (Resident Evil, Alien Vs Predator) keeps the plot straightforward and ensures the movie remains faithful to the video game. The acting won't net any awards but all did a fine job. The movie could have been added to the list of box office disasters but audiences, in particular fans of the video game, got a kick out of the movie and consider it to be a flawless victory.

Mortal Kombat is certainly a worthy video game to movie adaptation. It is still a fun movie.

7/10."
Pocahontas (1995),"Disney hit a rut in the late-90s with a string of critical and audience failures that began with Pocahontas and lasted through Hunchback, Hercules, Dinosaur etc. It was also one of two historically- inaccurate movies starring ""Mad"" Mel Gibson that came out in Fall 1995 in the UK. Both of which I never got to see until much later.

From a technical standpoint there is nothing wrong with Pocahontas, as a matter of fact it's far more colorful, atmospheric, and grown-up than The Lion King, which came out a year before. But in the process it lost much of its younger audience and now only seems to appeal to adults. The story lets everything else down. It's so bland and generic when it could have had the moxie to go much further and be just a tad more complex. It certainly had the visual energy to back it up even it were to try and fail. Alan Menken's score is also horrible and totally inappropriate to the scenes he is supposedly enhancing. Songs come and go, some last only a few moments. If feels like instead of letting the visuals speak for themselves Disney decided that characters talking to each other (at the audience) as a means of delivering exposition was too obvious so instead this dialogue is sung. The songs are exposition. Rarely do they allow any visual storytelling to stand alone. John Smith's first encounter with Pocahontas at the waterfall being the best example of what the film could have been if only.

Despite being historically-inaccurate (why is she not topless?) it really only details the first half of the Pocahontas story. The second (and more tragic) half is (sorta) detailed in the cash- grab sequel that nobody remembers. I cannot imagine anyone being smitten by this film unless they are already familiar with Pocahontas as the stripped-down story is hardly likely to win over anyone new to this slice of romantic history."
Things to Do in Denver when You're Dead (1995),"I CAN imagine telling someone this film is 'a reputable film of inherently admirable qualities' - a wide-ranging score, sharp cinematography, a beautiful elegiac tone and a killer script all provide the foundations for one of the most surprising films I've seen. Andy Garcia's A-list performance is superbly supported by a host of brilliantly- cast characters, with Treat Williams, Christopher Lloyd and the malevolent

Christopher Walken outstanding.

The whole film just sits really well - all the small background details help the plot, flesh out the characters and culture or provide telling counterpoints to the situation.

Highly recommended, for those who like their films stylish, well-acted and

intelligent."
Broken Arrow (1996),"Usually I'm the first person to label this sort of movie. Look at it. It's got the usual assortment of cliches and conventions. The John Woo directed action scenes stretch over the top. There's a mentally unstable talkative nemesis, a predictable betrayal and even one of those bombs that graces us with a digital readout. All prerequisites for movies of a certain quality and after saying all that - I'd usually be complaining about now.

Yet for one reason I can't. This movie really entertained me. It finds a way to come together in a really enjoyably manner and I'm happy with what I got. I can't bad mouth it. Nothing got in my way of everlasting enjoyment of seeing baddies die, bombs going off and the baritone guitar instrumental. It just all clicks from the get-go.

If your reading this you don't need me to recycle the plot summary. It's of a trivial nature. Good action, decent cast and a fun atmosphere go a long way with Travolta ultimately holding it all together. He plays his role to the hilt and delivers some fantastic lines. Him and Slater tango pretty well too. Travolta makes for a great bad guy and good action movies require great bad guys. Chances are anyone else in Broken Arrow and you'd be reading a completely different review. A guilty pleasure if there ever was one."
"NeverEnding Story III, The (1994)","Imagine that you are reading an entertainment magazine like ""Entertainment Weekly"" or ""Rolling Stone"", and you happen to look in the news section where they give you information about a movie that is in production. It is a children's movie distributed by Miramax, who has made dozens of Oscar-winning films over the last 30 years. It has special effects by Cinemagic and the Jim Henson Creature Shop, and Jack Black stars in it. You would want to see it, right? Well, not if it's ""The NeverEnding Story III"".

""The NeverEnding Story III"" is disappointing in every sense of the word. It is by far one of the worst sequels ever made, and it does a disservice to the book by Michael Ende and the original 1984 film on which it is based (My review: http://www.imdb.com/title/tt0088323/usercomments-250).

This movie takes characters from the book and creates a new story that is full of plot holes, bad puns, and very little logic whatsoever. It helps very little that none of the cast members from either of the first two movies were involved in this film.

This time, Bastian is played by Jason James Richter (""Free Willy"" (1993)). Although Richter looks like a preteen model, he is still harassed by a gang at his new school known as the Nasties (or the Nastys) whose leader is Slip, played by a then-unknown Jack Black.

As it turns out, Bastian's new school also happens to be where Coreander, the owner of the book store in the original story, works as a librarian. British actor Freddie Jones plays Coreander in this movie, and fans of the original may be disappointed not to see Thomas Hill reprise his role. I don't blame them.

Anyway, Coreander happened to bring the NeverEnding Story with him to this school library. It's a pretty contrived way to bring the book back into the story after the main character has moved away if you ask me.

What's even more contrived is when Bastian, hiding from the Nastys, retreats into the world of Fantasia, only to have Slip retrieve the book, realize its powers, and try to destroy the world and Bastian. In the book and the first two movies, the reader had little to no control over how the NeverEnding Story would be told. How the Nastys get control is never explained anywhere in the movie. The NeverEnding Story being an enchanted book is no excuse to cover up such plot holes.

When Bastian realizes he has to re-enter the real world to obtain the book and save Fantasia, the movie just gets worse. Even with the Oren (the token worn around the neck that resembles two snakes), Bastian alone can't make it back home. So a number of creatures from Fantasia have to wish with him, and be transported into his world, for him to save Fantasia.

Such a subplot wouldn't be so bad if the supporting characters weren't so annoying and intelligence insulting. There's the Rock-Biter's baby boy who talks in annoying ""baby talk"" that real children under 3 don't use as vernacular, an anthropomorphic tree who talks like an old Jewish comedian except not as funny, and two gnomes (Urgl and Engywook, featured in the first movie but played by different actors) who have a tired running joke about needing to use the bathroom.

Oh yes, and who could forget Falcor, the luck dragon? In the first two movies, Falcor was a hero to Atreyu and Bastian, and was the voice of reason in many situations. He also had a voice like Walter Cronkite, which made him ever cooler. Here, he not only looks different from the previous two films, but he's whinier and dumber. When, in the real world, he mistakes an airplane for a female luck dragon, I could only hang my head and wonder, ""Why?"".

To make matters worse, Bastian can't wish the book back after the Nastys stole it because he can't use the Oren to make wishes in the real world. That plot point is well and good, and makes a setup for a great conflict that adds to the story. Unfortunately, the people who wrote this screenplay forget that plot point and failed to explain why Bastian's stepsister Nicole (Melody Kay) could make wishes when she had possession of the Oren. Any script reviser could point out these plot holes, and it most especially amazes me that filming progressed despite these inconsistencies.

It is even more amazing that no one in this movie actually acts poorly. Richter does well in his role, despite his voice obviously cracking and no one noticing. I don't bring that point up to be mean. It's just that the filmmakers could have used his voice changing as a good subplot to explain why he's being picked on. But I digress.

The point is that everyone involved in this film just could not save the story having so many inconsistencies. By the end, the story bears no resemblance to Ende's original book at all. The Fantasia creatures are also too annoying, trying too hard to be comic relief and inundating their dialogue with uncharacteristic pop culture references. Case in point: the Rock Biter rides his bike while singing ""Born To Be Wild"" by Steppenwolf. What were these filmmakers thinking?

And you would think that the Jim Henson Creature Shop working on your side would be a valuable asset in this film. In this case, none of the recurring characters look like they did in the first two movies (the Rock Biter, looking like a pint-size version of his predecessor, was the biggest disappointment), and they weren't strong characters either. They did not live up to Henson's high standards of storytelling and development. If you don't believe me, try finding this movie on Muppet Central. You would have had better luck finding this film in a theater that ran it for two weeks back when it was released."
Rob Roy (1995),"As a Cinematic Experience, 'Rob Roy' is decent, but if you're clearly looking to see some fine acting, 'Rob Roy', just might do the trick. This 1995 Historical Drama has Liam Neeson & Tim Roth delivering performances that are so sharp & effective, that, they even manage to the hold the film, when it falters.

Directed by Michael Caton-Jones, 'Rob Roy' stars Neeson as Robert Roy MacGregor, the famous Scottish folk hero and outlaw of the early 18th century, who battled with feudal landowners in the Scottish Highlands.

Robert Roy MacGregor's Journey On-Screen, is decent in parts. The Writing Material is slow and slightly deary in the first-hour, but picks up the second-hour and reaches to a memorable culmination. Michael Caton-Jones's direction is satisfactory. Cinematography by Karl Walter Lindenlaub is stunning. Editing is fair.

Performance-Wise: As told, Neeson & Roth rule the show with their sharp & effective performances. Neeson gets into the skin of the character, and plays a robin-hood of his time perfectly. Roth, on the other-hand, plays the bad guy, most effectively. Jessica Lange is adequate. John Hurt & Brian Cox are fairly good.

On the whole, A Must See for Neeson & Roth Fans!"
Species (1995),"Ah finally! An excuse to stare at gorgeous boobs, cleverly disguised as Sci-Fi cinema! Well maybe that's a tad bit exaggerated but, still, the multiple sequences in which Natasha Henstridge walks around topless are unquestionably the most memorable moments of the entire movie. In her debut role, stunning Natasha plays a secret government project, namely the very first scientific hybrid of human and alien DNA. During the opening sequences, she's still a teenage girl but already incredibly strong and too dangerous to keep alive any longer. When project leader Fitch (Ben Kinsley) attempts to destroy her with gas, she escapes on a train and Michelle Williams transforms into Natasha Henstridge. What's the sole thing on a sexy blond alien's mind when she drifts through L.A. all by herself? Procreate, of course, and thus Sil (her codename) hooks up with random men as she's looking for the perfect sperm donor. Meanwhile, Fitch assembles an elite squad that'll be charged with hunting down Sil and annihilate her before she copulates the entire male population to death. ""Species"" is a pretty bad movie, yet horror and Sci-Fi fans will definitely find it entertaining due to its large amount of gore and trashy sleaze. The action-sequences are well illustrated and exciting but, as soon the script tries to be intellectual, the whole thing looks stupid and dreary. Especially the characters don't make much sense. Michael Madsen is (again) supposed to be a tough and merciless bounty hunter, but he has a gingerbread heart and falls for a dull female doctor. Kingsley is profiled to be the cold and heartless scientist but he can't even force his authority on a four-headed crew? Oh, and Forest Whitaker is the lousiest spiritual medium ever! ""Something has happened here"", he says whilst staring at the bloody aftermath inside the train carriage. Well duh! You're staring at corpse and the juicy leftovers of an alien cocoon! The special effects are blobby and they regularly brought back memories of cheap B-movies from the 80's, which was nice. Like I said, ""Species"" is a lot of fun as long as none of the characters open their mouths to speak."
"Walk in the Clouds, A (1995)","I was stuck watching this on a 5 hour flight so I had plenty of time to review and re-review this movie in my head. I guess this is a love story but I'm not sure at all how the Keana Reeves ultimately became attached to the leading lady.

The gist of the story - The leading lady is pregnant and the father of the unborn child has disappeared. She has to go home with the shame and gets on a bus where she meets Keanu. They talk and Keanu decides to go with her with under the guise of meeting and making her family believe he's a bum by running out on her. However, things don't go as planned and by movie's end, they're in love and everything works out.

The story to me was like mashed potatoes, all the potatoes get thrown together and you get a final product, in this case a not very cohesive movie. The point I'm getting at is that this movie does a poor job at telling it's story. It appears that the director must have took a day off and let their assistant(s) finish shooting the film. I think there are plenty of undiscovered scripts waiting to be discovered and filmed - too bad some one didn't find one to replace this yawner.

I'm still puzzled about the grapes though..."
Waterworld (1995),"Waterworld (1995)

*** (out of 4)

Talk all you want about how this thing was a bomb at the box office. I've personally never seen how good or poorly a movie does at the box office should have any impact on its entertainment or quality level. Is WATERWORLD flawless? Not even close. There are countless problems with this film but for the most part I've always enjoyed its ambition and it keeps me entertained. The story is pretty simple as in the future all the world is covered by water, although there's rumors of land somewhere. A part-man, part-fish (Kevin Costner) gets involved with a family (Jeanne Tripplehorn, Tina Majorino) and soon must defeat some bad guys (led by Dennis Hopper) who has kidnapped the girl. WATERWORLD runs on a bit too long, loses focus on any type of story and yes the budget was crazy but in the end it's still a pretty entertaining summer blockbuster. I think a lot of credit has to go to the actual look of the film, which of course turned out to be some of the biggest issues with the production. I thought the director managed to do a good job creating a world where the viewer really did feel was nothing but water. The futuristic atmosphere also worked and the look of the costumes, ships and supplies were all realistic and fun. The action scenes were also extremely well handled and especially the ending with all the explosions and fires. The battles at sea were really just things we had previously seen in pirate movies but they were still fun. Costner also turns in a good, not great, performance in the lead and he at least keeps you interested in everything going on. Hopper delivers that crazy type of performance we all love and Tripplehorn is good in her supporting bit. Majorino is also fun as the young girl who befriends Costner. I remember watching this when it was originally released and everyone was going crazy about the budget. Everyone seemed to forget that the people leaving the theater actually liked the movie. It's too bad WATERWORLD was doomed from the start but it remains a fun movie."
Wild Bill (1995),"This film presents the viewer with an odd perspective on the psychedelic West, but as MGM's answer to Disney's/BuenaVista's ""Tombstone,"" it falls flat on its face. It failed at the box office, and it fails to convey any resemblance to a modernized western. Actually, this plays more like Andy Kaufman meets Quentin Tarantino in Deadwood.

That combination may sound like fun, and at times, it is, but for the most part, this is one convoluted mess that cannot live up to the name Wild Bill Hickock, though it is slick and stylish in its development and execution.

Jeff Bridges was one bright spot in this work, while there are other bright spots, they are matches next to his spotlight.

All in all? I was entertained, if somewhat aghast.

It rates a 4.8/10 from...

the Fiend :."
