Movie,Review
Amityville II: The Possession (1982),"I am not a huge fan of the Amityville Horror (1979), it was okay movie but not that scary, as it was made out to be.

This movie starts of with a new family moving in to the house, a father and mother and four kids, two daughters and two sons.

At first everything seem normal, until the strange things start to happen to younger two kids, as the house messed one room up but father dose not believe the kids and then he hits the poor kids, then eldest son, then point a shotgun at is father to make him stop what he doing.

(I have never hated anyone, as much as I hated the father in this movie).

Soon after Sonny the oldest of the sons, start to act a bit at strange and start to feel sick, then while the whole family is out, we see how becomes possessed by the house.

Small spoiler, I liked the scenes, where we see Sonny get possessed by the house,

when we see him screaming in pain, when he stomach he being press down by the unseen evil force, was really good scene, that was scary and really dark

that is one the reason i liked this movie more then first and this is a lot more darker then first movie and the acting was outstanding from everyone

I would have give this movie 10 but I find the ending, a tad boring and disappointing.

so I am going to give this movie a 8 out of 10"
"Amityville Horror, The (1979)","Excited about the remake I decided to go out and just but the original Amityville Horror. Being a huge horror buff, I just had to and besides I had only seen some of it's absurd sequels. hearing mixed reviews from friends and critics from terrifying to hilarious I turned it on with my boyfriend at the time and prepared myself for something scary. I must say that I was quite impressed. And although slightly disappointed in some of the films scenes ultimately I must say this is one old fashioned scary flick! I can hugely recognize the appeal it had in it's it's hey day. With the exception of Texas chainsaw Massacre, Evil Dead, the Omen and some others I rarely see what people did in their horror classics nowadays. Like The Exorcist, pretty damn boring and funny in my opinion. But getting back to this film. It builds a creeping mood filled with fright inducing suspense. The effects are simple but effective and the performances are somewhat over the top but necessarily wacky. The film's overall lasting appeal has little to do with the film's apparent campiness. it has more to do with the real terror inducing legend that inspired it. Like the Chainsaw remake the new ones looks to amp up the horror and intensity which would be greatly welcomed. Although a great horror classic Amityville's finale is somewhat anti climactic and after a long and impressively scary build-up it fails to deliver the end goods. But whoa some of the scenes from the imaginary friend Jody flying out the window, to the visitor at the door, to the voice in the house and just everything in the basement this film is all about delivering some authentic chills. 8/10"
"Birds, The (1963)","The Birds is one of the very few Alfred Hitchcock films that owes more to special effects than to any great story line or acting performances. It's those birds turning on mankind in Bodega Bay that you come to see this film and that's what you get.

Those of the lesser species that mankind hasn't killed off live either in harmony with man or in an undeclared truce. What if a species all of a sudden, previously docile, decides to turn on man? Birds are something we may like or dislike but we do take their passivity in most cases for granted.

It's not hunting or preying birds like the eagle and hawk that do the turning in Bodega Bay, it's scavenger birds like gulls and crows. And they're working together with a kind of unseen intelligence guiding them. That's what's most scary.

The human players Rod Taylor, Tippi Hedren, Suzanne Pleshette, Jessica Tandy and the rest are really of little importance. Everyone does their part well, but their little stories fade to insignificance. The Birds starts as almost a Doris Day/Rock Hudson type comedy as Rod Taylor comes into a pet shop and mistakes Tippi for a salesperson. They have their Rock and Doris like banter and she gets his license number and follows him down to Bodega Bay, a sleepy little California coast village.

The way Hitchcock made Santa Rosa a part of Shadow of a Doubt, he does the same here with Bodega Bay. Unlike in Shadow of a Doubt though the town as well as The Birds dwarf the plot of the film.

As Rod and Tippi do their Rock/Doris thing The Birds start their attacks and turn the place into panic city. As it probably would in any situation. What's really spooky about the whole thing is that Hitchcock leaves it totally unresolved. We don't know what the town will do about these aggressive avians. Or for that matter what mankind itself will do."
"Blob, The (1958)","The Blob was everything that a 1950s Teen/Horror flick should be.

It was fun, goofy, contained plenty of laughable dialogue, and, yes, it was actually quite entertaining, in a cheesy sort of way.

Bad-boy actor Steve McQueen, as Steve Andrews, leads the local teenagers into a battle to save their town from being swallowed up by a giant glop of cherry-coloured Jell-O from outer space.

True. The Blob isn't really very good - But, how can you hate a movie a crazy that's as this?

The Blob is definitely worth checking out.

It even features a title song that was written by Burt Bacharach."
Burnt Offerings (1976),"The film is about a family who comes to live at a creepy mansion for two months. However, throughout the film, there is tons of foreboding music and you know SOMETHING bad is going to happen as the personalities of everyone (but the boy) seems to change the longer they live in the house. Unfortunately, it only really heats up in the last half hour of the movie.

I usually like long movies and can't complain if a film merits a three hour running time or longer. However, at the same time, I hate films that go on too long given that the story is actually very, very simple and just doesn't merit the lengthy running time--like this film. BURNT OFFERINGS is only about two hours long, though it seems like a three hour film because it moves at a snail's pace. At least 45 minutes could have been edited out and the film would have improved as a result of tightening up the script--especially if they'd taken it from the first 2/3 of the movie. For so much of the film, nothing particularly scary or important happens and the tension doesn't exactly build--it slogs along. Now I understand that some of this slower pacing is good for a horror film--you need some build-up--but not THIS much! This was especially bad because the ending was almost exactly what I'd expected about 15 minutes into the film (though the level of blood did surprise me a bit).

Oliver Reed and Karen Black play husband and wife and this casting just seemed odd. Why the English Reed with Ms. Black--especially when their chemistry seemed, at best, awkward? And why did much of Reed's performance (especially late in the film) consist of him shaking convulsively and looking very red-faced (like he was really constipated)? And, why would they include Bette Davis in this film when her role was really rather bland and unimportant? In other words, why is such a great actress given a role that could have been as easily played by any supporting actress or perhaps even a parrot?! As for Lee Montgomery as the boy, he was probably the best in this film. While I hated this child actor in films such as BEN (yuck!!!), here he was decent--and the most credible member of this family--mostly because he didn't seem stupid like his parents!

Overall, this film is creepy and atmospheric but too much emphasis was placed on this. The ""bang"" at the end just didn't provide enough thrills to merit sitting through the previous 90 minutes of bland ""action"". Worth seeing as a time-passer or if you must see everything Miss Davis ever did (even her poorer films of the 1970s), otherwise this one is easy to skip."
Carrie (1976),"This film probably speaks to anyone who was bullied or humiliated in high school, and there's great power in its well-known dramatic scene. It's entertaining in a campy sort of way, but Stephen King's writing and Brian De Palma's direction are both so unsubtle that the interesting premise isn't very elevated in execution. That's too bad, because Sissy Spacek is memorable as the title character, Piper Laurie is strong as her overbearing mother, and there are several others in the supporting cast of interest, including John Travolta and Amy Irving.

Unfortunately, the story is too simple, and its characters are too extreme. The mother practices religion straight out of the 16th century, the kids in high school are so cruel they'll kill a pig with a sledgehammer, and it's not enough that the picked on girl is so awkward, she also has to have an incredibly powerful psychic ability. Meanwhile De Palma's ogling in the ridiculous shower scene, obsession with referencing Hitchcock, and tendency to prolong scenes gave the film an amateur feeling. Loved the jump scare towards the end, that was a nice touch, and this film is worth seeing, but it's far from great."
"Omen, The (1976)","When I first saw this movie I just could not believe how well it had been put together by director Richard Donnor. Harvey Stephens was the perfect choice to play Damien ""cute but evil"". The Scene where he looks at the dog and waves is just a classic! and then there is the score...Jerry Goldsmith won a well deserved Oscar for this movie in which he created two excellent themes ""Ave Satani"" and ""Piper Dreams"" which carry this movie along with brilliance.

People seem to always compare this movie to ""The Exorcist""....why???, The Exorcist is a classic all on it's own. The Omen deals with a completely different subject to The Exorcist, while The Exorcist deals with possession, The Omen deals with the child of the devil 'the antichrist'.

The Omen has one thing The Exorcist does not have ""a classic score"". The Exorcist used Tubular Bells with great effect which actually was never written for the movie. The Score written for The Exorcist is still vertically unknown to this day.

The movie opens with the silhouette of a young boy, the shadow of which gradually turns into a cross. It's simple, yet very chilling, and sets the tone. We then meet Robert Thorn (Gregory Peck). It's Rome, and it's 6am, on the 6th day on the 6th month. His wife Kathy (Lee Remick) has just given birth to a child, which died almost immediately. At the hospital a priest named Spiletto convinces him to secretly adopt a child, whose mother died during childbirth. Thorn agrees and keeps it a secret from his wife. They name the child Damien. Thorn is then promoted, from American Ambassador to Italy to Ambassador to Great Britain. We see the happy family in London, the perfect life. It however all starts to go wrong at Damien's fifth birthday party and to make matters worse Damien's adopted father Robert Thorn eventually learns that he is actually the devil's son (The Antichrist).

This movie is a horror classic and will remain a classic for many year to come.

***** out of *****"
Star Trek: The Motion Picture (1979),"The first Star Trek film of 1979 is an exciting, expansive and rather tense first foray into feature length filmmaking for the popular franchise - a bold going where very few, if any, television shows had gone before. There's a polished sense of spectacle, adventure and smarts all wrapped up into one about it; a sheen of precision and careful planning about the production – a sense of craft to it. Indeed, ""The Motion Picture"" rather than ""the movie"", or anything else for that matter, is a perfect subtitle for something that has a swagger about it; a piece that has pretensions to be something a little more than your average space adventure blast 'em up, without possessing much in the way of arrogance that comes with a self-conscious knowledge that it's heading down this respective route. The film is set in a distant future further still within deepest of deep space, and yet its chief source of spectacle arrives in the form of the speaking; reasoning and communication between a number of its characters, most notably its protagonist and new-found antagonist during the final act.

The film follows a relatively familiar, if unspectacular, singular line framework, for sure - in that regular battles must be conquered along the way to ending where they do and that the individual misunderstandings crew members have with each other need to be resolved, but it is remarkable how by the time the final act as arrived, the piece is willing to abstain from conventional conclusion. We begin with the focusing on what will come to form as the film's primary source for plight: a huge energy cloud thousands of miles away from an Earth, whose own measurements of time has seen it reach the 23rd century. We observe some spaceships passing by, our eye unsure on what to focus on as lingering shots of the crafts and the distinct turrets that stick up out of them capture our gaze more than anything. A cut inside reveals some ugly looking creatures using an alien language and distinct technology, technology they use to attack the large purple energy cloud before it itself wipes them out with relative ease. The desired effect of lingering on space ships we have never before encountered, and therefore require time so a to become familiarised with them, before cutting inside to reveal the ugly creatures said edit reveals and concluding the process by having those creatures killed off, is an effective procedure establishing distinct hierarchy within this new world and immediately implements this glowing energy cloud at the centre of all the film's tension and wonder.

Director Robert Wise has effectively blended a slow-burning approach to telling a space adventure with an overall narrative framework of race-against-time. The cloud is heading for Earth; it's unstoppable; nobody knows what it is or what it wants and thus far, has only reacted aggressively to what it's encountered. Luckily for Earth based space programme organisation Starfleet, the one ship nearby and able to head on out to intercept and investigate is the famed U.S.S. Enterprise harboured at its sunny, welcoming, radiant and busy-bodied San Fransisco headquarters; far away from the large, open, gloomy, ominous locales of the previous sequences. Said ship is, of course, headed up by its chief: a certain Admiral named James Kirk played, as in the TV show of the 1960s, by William Shatner, somebody whom storms in unopposed and assumes control from acting captain Willard Decker (Collins) thus nicely teeing up the friction existing between the two of them thereafter. The film also makes decent use of a back-burning item in the form of The Enterprise's overall physical state, its potential to malfunction ominous when we recall what the energy cloud is capable of to fully functioning ships; the death of two people trying to use the transporter beams rather-a stark forcing home of this.

The crew will eventually come to be made up of varying people of varying ethnicities, in that an African American; a Hmong man; a young Aryan; etc. will form the nucleus of the ship's diverse operators, successfully getting across a sense of the whole thing being a multicultural effort. Also along for the ride is Indian actress Persis Khambatta's alien life-form named Ilia, who's given a Lieutenant rank and shares a romantic history with the demoted Decker. Of the original crew, a foil arrives for Kirk in the form of the ship's doctor named Bones McCoy (Kelley), whereas male specimen of the Vulcan race variety Mr. Spock (Nimoy) comes aboard when he is drawn to the cloud due to the effect it had on his usually transparent emotional state. Wise shoots the unveiling of The Enterprise, as it undergoes repair work in a series of longing close ups. Kirk and one of his engineers very slowly veer up to it in a transport pod, the reaction on Kirk's face and a general sense of awe is inferred onto the audience, namely the die hard fans of the show, so as to help along the reaction as The Enterprise is revealed on the big screen for the very first time. Wise shoots what feels like all corners of the ship, from all possible angles and compositions, as people stand around it on apparatus seeing to it: a literal repair job for what's happening within the film, a metaphorical preparation/revealing job as the final touches are made and the big reveal is made.

The film is a surprisingly remarkable piece of drama, with Wise wedging great peril out of the simplest of ideas such as the being on collision course with a small but devastatingly effective asteroid as well as some uncanny happenings during other encounters which are instead helped along by the special effects that greatly enhance the ominous predicaments, rather than just cruelly ageing film and sapping out drama. The film is engaging and workmanlike enough in equal measure to work as both decent escapism and as smart, brooding science fiction."
Star Trek V: The Final Frontier (1989),"I like underdogs. So, 12 years after having first seen Star Trek V, and thinking it was bizarrely bad, I gave it a second watch, hoping I would find some redeeming quality which I missed the first time around.

I didn't.

The writing is half-baked, and although at first the quality of the acting is stable enough to keep the movie on its feet (albeit shakily), the further we get into the plot the sillier it gets. The last quarter of the film is just plain ridiculous. What was even worse, from the original cast's POV, is that this was the first ST movie to be released AFTER the franchise returned to television with Next Generation, and the average episode of Next Generation would put this to shame* - including the special effects! What an embarrassment.

The Final Frontier isn't thoroughly wretched - I gave it 4 out of 10 - but it's so far below the standard of its predecessors (yes, including the first one) that the only reason I can think of to watch it is because you'll appreciate the other movies more.

* unless it's an episode with Troi's mother in it."
Jaws 3-D (1983),"When I began watching ""Jaws 3-D"" I had to laugh. According to IMDB and the film itself, it was filmed at Sea World in Orlando. Well, Orlando is about 90 minutes from the ocean....and there is no way ANY shark could attack there as there are only lakes around the property. I am sure that a lot of other Floridians had to laugh at this as well.

The first portion of ""Jaws 3-D"" wasn't that bad. Sure, there were some cheap 3-D tricks reminscent of ""SCTV"" and their 'Dr. Tongue' skits....but the story wasn't too stupid. However as the film progressed, the 3-D stunts got worse as did the horrid underwater sequences and, especially, the plot. We are to believe that a 35 foot Great White shark is angry because its baby was killed (sharks have zero maternal instinct by the way) and it attacks and destroys much of an underwater sea park...and, it growls!! The premise is ridiculous and the whole thing is carried off in the crappiest possible way. For examples, as people are supposedly walking around in tunnels under the sea, it's obvious that the external shots were sloppily added later....and when you see subs and other things under the water, it's obvious they were done using a green screen and VERY poorly added later. On the big screeen this must have been paritcularly jarring to watch! As for the shark itself, despite nearly a decade between this film and the original ""Jaws"", the shark manages to look even LESS lifelike! This is especially true in the ultra-slow motion scene towards the end when it smashes the control room...and ultimately meets its doom. You just have to see it to believe it!!

Overall, a dopey movie with abominable special effects. One positive thing, however, about the film...it proves that acting in such a movie will NOT necessarily kill your career or your reputation. Dennis Quaid and Louis Gossett, for example, managed to make this pile of crap and still have some self-respect. Strangely, despite all its many deficiencies...the movie still managed to make money!!

If you didn't know, this movie is currently #60 on IMDB's infamous Bottom 100 List. I can how it made it, as the list consists of the worst major releases and even after 36 years, folks STILL remember it and hate it. A terrible film."
